bench,ORDER,n,t
create,1,1,5.0704e-05
create,1,15,8.5508e-05
create,1,31,0.000104492
create,1,47,0.000112402
create,1,63,0.000120312
create,1,79,0.000120312
create,1,95,0.000128222
create,1,111,0.000128222
create,1,127,0.000136132
create,1,143,0.000128222
create,1,159,0.000136132
create,1,175,0.000136132
create,1,191,0.000144042
create,1,207,0.000136132
create,1,223,0.000144042
create,1,239,0.000144042
create,1,255,0.000151952
create,1,271,0.000137714
create,1,287,0.000145624
create,1,303,0.000145624
create,1,319,0.000153534
create,1,335,0.000145624
create,1,351,0.000153534
create,1,367,0.000153534
create,1,383,0.000161444
create,1,399,0.000147206
create,1,415,0.000155116
create,1,431,0.000156698
create,1,447,0.000164608
create,1,463,0.000156698
create,1,479,0.000164608
create,1,495,0.000164608
create,1,511,0.000172518
create,1,527,0.000147206
create,1,543,0.000155116
create,1,559,0.000155116
create,1,575,0.000163026
create,1,591,0.000155116
create,1,607,0.000163026
create,1,623,0.000163026
create,1,639,0.000170936
create,1,655,0.000156698
create,1,671,0.000164608
create,1,687,0.000167772
create,1,703,0.000175682
create,1,719,0.000167772
create,1,735,0.000175682
create,1,751,0.000175682
create,1,767,0.000183592
create,1,783,0.00015828
create,1,799,0.00016619
create,1,815,0.00016619
create,1,831,0.0001741
create,1,847,0.00016619
create,1,863,0.0001741
create,1,879,0.0001741
create,1,895,0.00018201
create,1,911,0.000167772
create,1,927,0.000178846
create,1,943,0.000178846
create,1,959,0.000186756
create,1,975,0.000178846
create,1,991,0.000186756
create,1,1007,0.000186756
create,1,1023,0.000194666
create,1,1039,0.000156698
create,1,1055,0.000164608
create,1,1071,0.000164608
create,1,1087,0.000172518
create,1,1103,0.000164608
create,1,1119,0.000172518
create,1,1135,0.000172518
create,1,1151,0.000180428
create,1,1167,0.00016619
create,1,1183,0.000178846
create,1,1199,0.000178846
create,1,1215,0.000186756
create,1,1231,0.000178846
create,1,1247,0.000186756
create,1,1263,0.000186756
create,1,1279,0.000194666
create,1,1295,0.000169354
create,1,1311,0.000177264
create,1,1327,0.000177264
create,1,1343,0.000185174
create,1,1359,0.000177264
create,1,1375,0.000185174
create,1,1391,0.000185174
create,1,1407,0.000193084
create,1,1423,0.000178846
create,1,1439,0.00018992
create,1,1455,0.00018992
create,1,1471,0.000199412
create,1,1487,0.00018992
create,1,1503,0.000199412
create,1,1519,0.000199412
create,1,1535,0.000208904
create,1,1551,0.000167772
create,1,1567,0.000175682
create,1,1583,0.000175682
create,1,1599,0.000183592
create,1,1615,0.000175682
create,1,1631,0.000183592
create,1,1647,0.000183592
create,1,1663,0.000191502
create,1,1679,0.000177264
create,1,1695,0.00018992
create,1,1711,0.00018992
create,1,1727,0.000199412
create,1,1743,0.00018992
create,1,1759,0.000199412
create,1,1775,0.000199412
create,1,1791,0.000208904
create,1,1807,0.000180428
create,1,1823,0.000188338
create,1,1839,0.000188338
create,1,1855,0.00019783
create,1,1871,0.000188338
create,1,1887,0.00019783
create,1,1903,0.00019783
create,1,1919,0.000207322
create,1,1935,0.000193084
create,1,1951,0.000202576
create,1,1967,0.000202576
create,1,1983,0.000212068
create,1,1999,0.000202576
create,1,2015,0.000212068
create,1,2031,0.000212068
create,1,2047,0.000219978
create,1,2063,0.00016619
create,1,2079,0.0001741
create,1,2095,0.0001741
create,1,2111,0.00018201
create,1,2127,0.0001741
create,1,2143,0.00018201
create,1,2159,0.00018201
create,1,2175,0.00018992
create,1,2191,0.000175682
create,1,2207,0.00018992
create,1,2223,0.00018992
create,1,2239,0.000199412
create,1,2255,0.00018992
create,1,2271,0.000199412
create,1,2287,0.000199412
create,1,2303,0.000208904
create,1,2319,0.000180428
create,1,2335,0.000188338
create,1,2351,0.000188338
create,1,2367,0.00019783
create,1,2383,0.000188338
create,1,2399,0.00019783
create,1,2415,0.00019783
create,1,2431,0.000207322
create,1,2447,0.000193084
create,1,2463,0.000202576
create,1,2479,0.000202576
create,1,2495,0.000212068
create,1,2511,0.000202576
create,1,2527,0.000212068
create,1,2543,0.000212068
create,1,2559,0.000219978
create,1,2575,0.000178846
create,1,2591,0.000186756
create,1,2607,0.000186756
create,1,2623,0.000194666
create,1,2639,0.000186756
create,1,2655,0.000194666
create,1,2671,0.000194666
create,1,2687,0.00020574
create,1,2703,0.000193084
create,1,2719,0.000202576
create,1,2735,0.000202576
create,1,2751,0.000212068
create,1,2767,0.000202576
create,1,2783,0.000212068
create,1,2799,0.000212068
create,1,2815,0.000219978
create,1,2831,0.000191502
create,1,2847,0.000200994
create,1,2863,0.000200994
create,1,2879,0.000210486
create,1,2895,0.000200994
create,1,2911,0.000210486
create,1,2927,0.000210486
create,1,2943,0.000218396
create,1,2959,0.000207322
create,1,2975,0.000215232
create,1,2991,0.000215232
create,1,3007,0.000223142
create,1,3023,0.000215232
create,1,3039,0.000223142
create,1,3055,0.000223142
create,1,3071,0.000234216
create,1,3087,0.000177264
create,1,3103,0.000185174
create,1,3119,0.000185174
create,1,3135,0.000193084
create,1,3151,0.000185174
create,1,3167,0.000193084
create,1,3183,0.000193084
create,1,3199,0.000202576
create,1,3215,0.000193084
create,1,3231,0.000202576
create,1,3247,0.000202576
create,1,3263,0.000212068
create,1,3279,0.000202576
create,1,3295,0.000212068
create,1,3311,0.000212068
create,1,3327,0.000219978
create,1,3343,0.000191502
create,1,3359,0.000200994
create,1,3375,0.000200994
create,1,3391,0.000210486
create,1,3407,0.000200994
create,1,3423,0.000210486
